Country,Country code,Onshore_Wind_CoE_2014,Onshore_Wind_CoD_2014,Onshore_Wind_WACC_2014,Debt_Share_2014,Wind_Debt_Share_2019,Onshore_Wind_CoD_avg_2014,Onshore_Wind_CoE_avg_2014,Onshore_Wind_CoD_avg_2019,Onshore_Wind_CoE_avg_2019,CoD_2019_PV?,CoE_2019_PV?,Onshore_Wind_WACC_2019
Germany,DEU,9.3,5.6,5.6,80,88.5,2.5,7.5,1.3,5.5,,,1.8
Luxemboourg,LUX,10.2,5.8,6,80,,,,,,,,
United Kingdom,GBR,10.4,5.8,6.1,75,70,5.25,10.5,2.75,8,,,3.35
France,FRA,10.5,6,6.4,80,86,5.7,11,1.5,6,,,2.9
Netherlands,NLD,10.8,6.1,6.4,70,80,5.5,13.95,2,11,,,3.85
Belgium,BEL,10.8,6.1,6.4,80,77.5,5.25,10.8,2.25,8.9,,,3.8
Austria,AUT,10.8,6.1,6.5,75,79.5,5,9,2.25,6.1,,,4.65
Finland,FIN,11,6.1,6.5,75,60,4,13.5,1.75,6,,,3.7
Sweden,SWE,11.1,6.2,6.7,60,55,5.2,11,1.5,9.5,,,5.6
Denmark,DNK,11.2,6.2,6.7,80,77.5,5,10.6,1.4,7,,,2.5
Czech Republic,CZE,12.1,6.3,7.1,65,75,6.65,12,2.95,8.5,,,6
Malta,MLT,12.2,7.3,7.2,70,,,,,,,,
Italy,ITA,12.2,7.5,7.7,65,77,9,11.5,3.05,7.75,,,5.3
Spain,ESP,13,7.5,8.1,70,75,9.5,14,1.9,8,,,6
Slovakia,SVK,13.6,7.5,8.1,65,90,9,13.6,3.5,10,Y,Y,5.5
Poland,POL,13.7,7.7,8.7,70,65,7.1,14.25,2.75,9,,,4.65
Ireland,IRL,13.8,7.9,9,70,85,7,11.5,3.5,10,,,6.5
Portugal,PRT,15.4,7.9,9,60,75,6,12.5,1.9,8.5,,,6
Estonia,EST,15.7,8.2,9.3,65,70,4.6,17.5,4.25,14,,,7.75
Latvia,LVA,16.1,8.4,9.7,70,60,6,16.1,5,21,,,9.1
Lithuania,LTU,16.6,8.7,9.7,70,75,6,16.6,2.65,8,,,9.5
Croatia,HRV,16.6,8.8,9.8,,67.5,,,4,9,,,7.75
Bulgaria,BGR,16.7,9.5,10.2,50,75,7.75,12.5,3,11.5,,,5.25
Slovenia,SVN,17.4,9.9,11,70,75,8.95,17.4,3.5,9.5,,,4.5
Romania,ROU,18.2,10,11.1,50,60,8.5,12.5,5.5,10,,,7.75
Hungary,HUN,18.6,10.4,11.3,65,66.5,9,14.5,5.7,8.5,Y,Y,5.15
Cyprus,CYP,19.3,10.6,12.3,70,75,6.75,15,3.5,10.5,Y,,5.2
Greece,GRC,20.7,14.2,13.5,55,75,10.5,15,4.75,11,,,5.8
