Country,Technology,Number of survey inputs,WACC - MIN ,WACC - av,WACC - MAX,COE - MIN,COE - av,COE - MAX,COD - MIN,COD - av,COD - MAX,Debt share - MIN,Debt share - av,Debt share - MAX,DSCR - MIN,DSCR - av,DSCR -MAX,LT - MIN,LT - av,LT - MAX
AT,Wind Onshore,11,0.0425,0.0533,0.091,0.022,0.0647,0.1,0.01,0.0194,0.035,0.2,0.775,0.89,1.05,1.18,1.4,12,13,15
BE,Wind Onshore,3,0.026,0.0372,0.05,0.07,0.0883,0.1,0.015,0.0233,0.03,0.75,0.783,0.8,2,2.28,3,18,19,20
HR,Wind Onshore,3,0.065,0.0783,0.09,0.06,0.0917,0.12,0.03,0.0367,0.05,0.6,0.7,0.75,1.25,1.28,1.3,10,12,15
CZ,Wind Onshore,6,0.05,0.06,0.07,0.05,0.081,0.12,0.021,0.031,0.04,0.7,0.767,0.8,1.2,1.43,1.7,12,13,15
DK,Wind Onshore,3,0.02,0.025,0.03,0.06,0.07,0.08,0.008,0.0138,0.02,0.75,0.783,0.8,1.1,1.15,1.2,10,18,20
EE,Wind Onshore,5,0.055,0.0806,0.1,0.08,0.1333,0.2,0.025,0.038,0.06,0.6,0.72,0.8,1.2,1.3,1.4,11,12,12
FI,Wind Onshore,9,0.04,0.0417,0.05,0.04,0.061,0.08,0.01,0.014,0.025,0.4,0.722,0.8,1.05,1.26,1.5,10,13,19
FR,Wind Onshore,10,0.02,0.0306,0.045,0.04,0.0651,0.09,0.01,0.0171,0.025,0.8,0.845,0.92,1.15,1.17,1.2,14,18,19
DE,Wind Onshore,11,0.013,0.0191,0.025,0.028,0.0474,0.078,0.0076,0.0131,0.0207,0.769,0.856,1,1,1.2,1.58,18,19,22
EL,Wind Onshore,6,0.05,0.062,0.076,0.08,0.11,0.14,0.02,0.0467,0.075,0.7,0.75,0.8,1.2,1.22,1.25,12,14,15
IT,Wind Onshore,5,0.0455,0.049,0.06,0.055,0.0715,0.1,0.016,0.0244,0.045,0.7,0.806,0.84,1.05,1.18,1.37,12,17,19
LV,Wind Onshore,6,0.0908,0.0908,0.0908,0.17,0.1917,0.25,0.04,0.0492,0.06,0.5,0.553,0.7,1.1,1.1,1.1,10,11,12
LT,Wind Onshore,9,0.08,0.0875,0.1,0.08,0.08,0.08,0.016,0.0243,0.037,0.6,0.717,0.8,1.1,1.15,1.2,9,10,12
NL,Wind Onshore,5,0.032,0.0502,0.07,0.06,0.094,0.12,0.015,0.0208,0.025,0.8,0.8,0.8,2,2,2,15,15,15
PL,Wind Onshore,10,0.042,0.0457,0.051,0.08,0.091,0.1,0.025,0.0276,0.03,0.6,0.69,0.7,1.2,1.44,1.5,14,15,15
PT,Wind Onshore,6,0.03,0.0522,0.09,0.05,0.0801,0.12,0.0075,0.02,0.0427,0.43,0.616,0.75,1.05,1.26,1.3,10,16,18
RO,Wind Onshore,4,0.075,0.0775,0.08,0.1,0.1,0.1,0.05,0.0563,0.06,0.6,0.6,0.6,1.25,1.25,1.25,10,10,10
ES,Wind Onshore,7,0.03,0.0522,0.09,0.04,0.0741,0.12,0.0075,0.0204,0.0427,0.4,0.58,0.75,1.05,1.26,1.45,10,16,18
SE,Wind Onshore,7,0.032,0.0574,0.08,0.06,0.0864,0.13,0.01,0.0179,0.02,0.4,0.486,0.7,1.15,1.23,1.4,3,10,18
CZ,PV,6,0.05,0.055,0.07,0.05,0.0617,0.07,0.02,0.0317,0.04,0.4,0.633,0.8,0,,0,10,12,13
EE,PV,4,0.05,0.0721,0.1,0.075,0.1219,0.2,0.025,0.0356,0.06,0.6,0.7,0.8,1.2,1.3,1.4,7,11,12
FR,PV,6,0.0226,0.0333,0.045,0.05,0.06,0.08,0.0115,0.0171,0.02,0.8,0.875,0.9,1.1,1.14,1.2,20,20,20
EL,PV,4,0.055,0.06,0.065,0.08,0.095,0.12,0.02,0.0325,0.04,0.7,0.775,0.8,1.2,1.21,1.25,10,12,15
HU,PV,12,0.0443,0.0557,0.072,0.05,0.0704,0.12,0.032,0.045,0.06,0.6,0.7,0.75,1.05,1.22,1.5,10,13,15
LV,PV,6,0.121,0.121,0.121,0.17,0.1989,0.25,0.04,0.0479,0.06,0.5,0.553,0.7,1.1,1.1,1.1,10,11,12
PT,PV,6,0.03,0.0522,0.09,0.05,0.0776,0.12,0.0075,0.02,0.0427,0.43,0.616,0.75,1.05,1.26,1.3,10,16,18
RO,PV,4,0.07,0.0763,0.08,0.1,0.1,0.1,0.05,0.055,0.06,0.5,0.575,0.6,1.25,1.25,1.25,10,10,10
SK,PV,10,0.055,0.055,0.055,0.1,0.1,0.1,0.02,0.037,0.05,0.67,0.74,0.8,1.1,1.21,1.35,8,10,12
ES,PV,6,0.03,0.0522,0.09,0.05,0.0776,0.12,0.0075,0.02,0.0427,0.43,0.616,0.75,1.05,1.26,1.3,10,16,18
BE,Wind Offshore,4,0.035,0.0388,0.04,0.09,0.1,0.11,0.013,0.0199,0.035,0.7,0.763,0.8,1.2,1.6,2,16,18,20
FR,Wind Offshore,4,0.04,0.0419,0.045,0.059,0.0785,0.1,0.0115,0.0188,0.025,0.8,0.825,0.85,1.25,1.25,1.25,20,20,20
DE,Wind Offshore,4,0.035,0.06,0.09,0.05,0.0675,0.09,0,,0,0,,0,0,,0,0,,0
UK,Wind Offshore,4,0.06,0.07,0.09,0.07,0.08,0.09,0.012,0.0202,0.035,0.7,0.75,0.8,1.2,1.2,1.2,15,18,20
