Category,Country Name,Country code,country,Time,Time Code,Electricity_Price
Economies,Afghanistan,AFG,3,2019,YR2019,18.00
Economies,Albania,ALB,6,2019,YR2019,9.40
Economies,Algeria,DZA,61,2019,YR2019,2.10
Economies,Angola,AGO,8,2019,YR2019,3.70
Economies,Antigua and Barbuda,ATG,4,2019,YR2019,44.90
Economies,Argentina,ARG,9,2019,YR2019,10.80
Economies,Armenia,ARM,7,2019,YR2019,7.70
Economies,Australia,AUS,12,2019,YR2019,20.40
Economies,Austria,AUT,11,2019,YR2019,10.20
Economies,Azerbaijan,AZE,15,2019,YR2019,4.80
Economies,"Bahamas, The",BHS,31,2019,YR2019,28.50
Economies,Bahrain,BHR,22,2019,YR2019,6.00
Economies,Bangladesh,BGD,18,2019,YR2019,9.70
Economies,Barbados,BRB,17,2019,YR2019,26.60
Economies,Belarus,BLR,35,2019,YR2019,14.70
Economies,Belgium,BEL,19,2019,YR2019,16.70
Economies,Belize,BLZ,36,2019,YR2019,22.60
Economies,Benin,BEN,24,2019,YR2019,20.70
Economies,Bhutan,BTN,32,2019,YR2019,5.90
Economies,Bolivia,BOL,28,2019,YR2019,17.50
Economies,Bosnia and Herzegovina,BIH,16,2019,YR2019,11.60
Economies,Botswana,BWA,34,2019,YR2019,16.30
Economies,Brazil,BRA,30,2019,YR2019,17.50
Economies,Brunei Darussalam,BRN,27,2019,YR2019,5.00
Economies,Bulgaria,BGR,21,2019,YR2019,10.70
Economies,Burkina Faso,BFA,20,2019,YR2019,23.80
Economies,Burundi,BDI,23,2019,YR2019,17.30
Economies,Cabo Verde,CPV,51,2019,YR2019,26.30
Economies,Cambodia,KHM,116,2019,YR2019,18.20
Economies,Cameroon,CMR,46,2019,YR2019,17.00
Economies,Canada,CAN,37,2019,YR2019,12.30
Economies,Central African Republic,CAF,40,2019,YR2019,10.50
Economies,Chad,TCD,214,2019,YR2019,21.20
Economies,Chile,CHL,45,2019,YR2019,10.20
Economies,China,CHN,47,2019,YR2019,14.60
Economies,Colombia,COL,48,2019,YR2019,19.90
Economies,Comoros,COM,118,2019,YR2019,28.10
Economies,"Congo, Dem. Rep.",COD,39,2019,YR2019,10.00
Economies,"Congo, Rep.",COG,41,2019,YR2019,8.10
Economies,Costa Rica,CRI,49,2019,YR2019,14.40
Economies,Côte d'Ivoire,CIV,43,2019,YR2019,12.60
Economies,Croatia,HRV,97,2019,YR2019,16.80
Economies,Cyprus,CYP,54,2019,YR2019,19.10
Economies,Czech Republic,CZE,55,2019,YR2019,13.80
Economies,Denmark,DNK,58,2019,YR2019,24.20
Economies,Djibouti,DJI,57,2019,YR2019,26.20
Economies,Dominica,DMA,59,2019,YR2019,36.80
Economies,Dominican Republic,DOM,60,2019,YR2019,20.10
Economies,Ecuador,ECU,62,2019,YR2019,11.90
Economies,"Egypt, Arab Rep.",EGY,64,2019,YR2019,9.70
Economies,El Salvador,SLV,209,2019,YR2019,19.50
Economies,Equatorial Guinea,GNQ,87,2019,YR2019,17.40
Economies,Eritrea,ERI,66,2019,YR2019,
Economies,Estonia,EST,63,2019,YR2019,10.30
Economies,Eswatini,SWZ,212,2019,YR2019,16.50
Economies,Ethiopia,ETH,68,2019,YR2019,3.60
