Project,Country,Country code,Year,WACC values
100 MW Solar,Brazil,BRA,2019,0.145
100 MW Solar,Brazil,BRA,2021,0.136
100 MW Solar,India,IND,2019,0.117
100 MW Solar,India,IND,2021,0.112
100 MW Solar,Indonesia,IDN,2019,0.08
100 MW Solar,Indonesia,IDN,2021,0.08
100 MW Solar,Mexico,MEX,2019,0.063
100 MW Solar,Mexico,MEX,2019,0.063
100 MW Solar,Mexico,MEX,2021,0.06
100 MW Solar,Mexico,MEX,2021,0.06
100 MW Solar,South Africa,ZAR,2019,0.066
100 MW Solar,South Africa,ZAR,2019,0.066
100 MW Solar,South Africa,ZAR,2021,0.066
100 MW Solar,South Africa,ZAR,2021,0.066
100 MW Solar,Brazil,BRA,2019,0.093
100 MW Solar,Brazil,BRA,2021,0.083
100 MW Solar,India,IND,2019,0.08
100 MW Solar,India,IND,2021,0.08
100 MW Solar,Indonesia,IDN,2019,0.103
100 MW Solar,Indonesia,IDN,2021,0.103
100 MW Solar,South Africa,ZAR,2019,0.072
100 MW Solar,South Africa,ZAR,2021,0.058
100 MW Solar,Brazil,BRA,2019,0.112
100 MW Solar,Brazil,BRA,2021,0.14
100 MW Solar,India,IND,2019,0.082
100 MW Solar,India,IND,2021,0.082
100 MW Solar,Indonesia,IDN,2019,0.087
100 MW Solar,Indonesia,IDN,2021,0.095
100 MW Solar,Mexico,MEX,2019,0.118
100 MW Solar,Mexico,MEX,2021,0.11
100 MW Solar,South Africa,ZAR,2019,0.124
100 MW Solar,South Africa,ZAR,2021,0.109
100 MW Solar,Brazil,BRA,2019,0.12
100 MW Solar,Brazil,BRA,2021,0.16
100 MW Solar,Mexico,MEX,2019,0.1
100 MW Solar,Mexico,MEX,2021,0.12
100 MW Solar,South Africa,ZAR,2019,0.12
100 MW Solar,South Africa,ZAR,2021,0.16
100 MW Solar,India,IND,2019,0.159
100 MW Solar,India,IND,2021,0.17
100 MW Solar,Indonesia,IDN,2019,0.144
100 MW Solar,Indonesia,IDN,2021,0.155
100 MW Solar,South Africa,ZAR,2019,0.171
100 MW Solar,South Africa,ZAR,2021,0.181
100 MW Solar,Brazil,BRA,2021,0.18
100 MW Solar,Indonesia,IDN,2019,0.11
100 MW Solar,Indonesia,IDN,2021,0.12
100 MW Solar,India,IND,2021,0.09
100 MW Solar,Brazil,BRA,2021,0.1
100 MW Solar,India,IND,2021,0.09
100 MW Solar,Mexico,MEX,2021,0.095
100 MW Solar,South Africa,ZAR,2021,0.115
100 MW Solar,Indonesia,IDN,2021,0.086
100 MW Solar,Brazil,BRA,2019,0.091
100 MW Solar,Brazil,BRA,2021,0.105
100 MW Solar,India,IND,2019,0.089
100 MW Solar,India,IND,2021,0.103
100 MW Solar,Indonesia,IDN,2019,0.065
100 MW Solar,Indonesia,IDN,2021,0.08
100 MW Solar,Mexico,MEX,2019,0.096
100 MW Solar,Mexico,MEX,2021,0.11
100 MW Solar,South Africa,ZAR,2019,0.102
100 MW Solar,South Africa,ZAR,2021,0.117
100 MW Solar,Brazil,BRA,2019,0.119
100 MW Solar,Brazil,BRA,2021,0.112
100 MW Solar,India,IND,2019,0.096
100 MW Solar,India,IND,2021,0.089
100 MW Solar,Indonesia,IDN,2019,0.08
100 MW Solar,Indonesia,IDN,2021,0.072
100 MW Solar,Mexico,MEX,2019,0.089
100 MW Solar,Mexico,MEX,2021,0.081
100 MW Solar,South Africa,ZAR,2019,0.102
100 MW Solar,South Africa,ZAR,2021,0.095
100 MW Solar,Brazil,BRA,2019,0.111
100 MW Solar,Brazil,BRA,2021,0.108
100 MW Solar,Mexico,MEX,2019,0.093
100 MW Solar,Mexico,MEX,2021,0.103
100 MW Solar,Brazil,BRA,2019,0.151
100 MW Solar,Mexico,MEX,2019,0.128
100 MW Solar,Mexico,MEX,2021,0.131
100 MW Solar,India,IND,2021,0.107
100 MW Solar,Indonesia,IDN,2021,0.087
100 MW Solar,Brazil,BRA,2019,0.126
100 MW Solar,Brazil,BRA,2021,0.135
100 MW Solar,Brazil,BRA,2019,0.126
100 MW Solar,Brazil,BRA,2021,0.147
100 MW Solar,India,IND,2019,0.082
100 MW Solar,India,IND,2021,0.082
100 MW Solar,Indonesia,IDN,2019,0.103
100 MW Solar,Indonesia,IDN,2021,0.103
100 MW Solar,Brazil,BRA,2019,0.121
