,Unnamed: 0,Country code,Country,Solar_Target,Wind_Target,Fossil,Clean,Total
0,0,AND,1,,,,,
1,1,ARE,2,,,41.17,6.38,47.55
2,2,AFG,3,,,0.28,0.49,0.77
3,3,ATG,4,,,0.06,0.01,0.07
4,4,AIA,5,,,,,
5,5,ALB,6,0.49,0.3,0.2,2.51,2.71
6,6,ARM,7,,,2.05,2.04,4.09
7,7,AGO,8,,,1.71,4.07,5.78
8,8,ARG,9,,,26.02,16.94,42.96
9,9,ASM,10,,,0.05,0.0,0.05
10,10,AUT,11,12.5,7.3,5.82,23.49,29.31
11,11,AUS,12,50.8,34.42,53.81,49.11,102.92
12,12,ABW,13,,,0.22,0.04,0.26
13,13,ALA,14,,,,,
14,14,AZE,15,,,5.86,1.31,7.17
15,15,BIH,16,1.49,0.6,2.09,2.09,4.18
16,16,BRB,17,,,0.3,0.07,0.37
17,17,BGD,18,3.03,1.14,21.8,0.76,22.56
18,18,BEL,19,11.6,5.3,7.29,17.89,25.18
19,19,BFA,20,,,0.39,0.12,0.51
20,20,BGR,21,8.2,2.7,6.31,7.03,13.34
21,20,BGR,21,8.2,2.6,6.31,7.03,13.34
22,20,BGR,21,5.5,2.7,6.31,7.03,13.34
23,20,BGR,21,5.5,2.6,6.31,7.03,13.34
24,21,BHR,22,,,8.6,0.05,8.65
25,22,BDI,23,,,0.05,0.07,0.12
26,23,BEN,24,,,0.3,0.03,0.33
27,24,BLM,25,,,,,
28,25,BMU,26,,,0.11,0.0,0.11
29,26,BRN,27,,,1.22,0.0,1.22
30,27,BOL,28,,,1.76,1.23,2.99
31,28,BES,29,,,,,
32,29,BRA,30,47.08,31.16,30.3,178.66,208.96
33,30,BHS,31,,,0.93,0.01,0.94
34,31,BTN,32,,,0.01,2.33,2.34
35,32,BVT,33,,,,,
36,33,BWA,34,0.4,0.05,0.8,0.01,0.81
37,34,BLR,35,,,9.72,1.8,11.52
38,35,BLZ,36,,,0.09,0.11,0.2
39,36,CAN,37,6.03,26.71,30.21,119.86,150.07
40,37,CCK,38,,,,,
41,38,COD,39,,,0.08,2.96,3.04
42,39,CAF,40,,,0.07,0.02,0.09
43,40,COG,41,,,0.59,0.22,0.81
44,41,CHE,42,9.8,0.3,0.73,22.69,23.42
45,42,CIV,43,,,1.28,0.89,2.17
46,43,COK,44,,,0.02,0.01,0.03
47,44,CHL,45,14.25,15.33,11.44,17.7,29.14
48,45,CMR,46,,,0.37,0.82,1.19
49,46,CHN,47,1025.0,800.0,1227.56,1199.69,2427.25
50,47,COL,48,1.0,3.0,6.84,13.4,20.24
51,48,CRI,49,0.73,0.57,0.38,3.13,3.51
52,49,CUB,50,,,6.06,1.37,7.43
53,50,CPV,51,,,0.17,0.05,0.22
