Country code,index
AND,1
ARE,2
AFG,3
ATG,4
AIA,5
ALB,6
ARM,7
AGO,8
ARG,9
ASM,10
AUT,11
AUS,12
ABW,13
ALA,14
AZE,15
BIH,16
BRB,17
BGD,18
BEL,19
BFA,20
BGR,21
BHR,22
BDI,23
BEN,24
BLM,25
BMU,26
BRN,27
BOL,28
BES,29
BRA,30
BHS,31
BTN,32
BVT,33
BWA,34
BLR,35
BLZ,36
CAN,37
CCK,38
COD,39
CAF,40
COG,41
CHE,42
CIV,43
COK,44
CHL,45
CMR,46
CHN,47
COL,48
CRI,49
CUB,50
CPV,51
CUW,52
CXR,53
CYP,54
CZE,55
DEU,56
DJI,57
DNK,58
DMA,59
DOM,60
DZA,61
ECU,62
EST,63
EGY,64
ESH,65
ERI,66
ESP,67
ETH,68
FIN,69
FJI,70
FLK,71
FSM,72
FRO,73
FRA,74
GAB,75
GBR,76
GRD,77
GEO,78
GUF,79
GGY,80
GHA,81
GIB,82
GRL,83
GMB,84
GIN,85
GLP,86
GNQ,87
GRC,88
SGS,89
GTM,90
GUM,91
GNB,92
GUY,93
HKG,94
HMD,95
HND,96
HRV,97
HTI,98
HUN,99
IDN,100
IRL,101
ISR,102
IMN,103
IND,104
IOT,105
IRQ,106
IRN,107
ISL,108
ITA,109
JEY,110
JAM,111
JOR,112
JPN,113
KEN,114
KGZ,115
KHM,116
KIR,117
COM,118
KNA,119
PRK,120
KOR,121
KWT,122
CYM,123
KAZ,124
LAO,125
LBN,126
LCA,127
LIE,128
LKA,129
LBR,130
LSO,131
LTU,132
LUX,133
LVA,134
LBY,135
MAR,136
MCO,137
MDA,138
MNE,139
MAF,140
MDG,141
MHL,142
MKD,143
MLI,144
MMR,145
MNG,146
MAC,147
MNP,148
MTQ,149
MRT,150
MSR,151
MLT,152
MUS,153
MDV,154
MWI,155
MEX,156
MYS,157
MOZ,158
NAM,159
NCL,160
NER,161
NFK,162
NGA,163
NIC,164
NLD,165
NOR,166
NPL,167
NRU,168
NIU,169
NZL,170
OMN,171
PAN,172
PER,173
PYF,174
PNG,175
PHL,176
PAK,177
POL,178
SPM,179
PCN,180
PRI,181
PSE,182
PRT,183
PLW,184
PRY,185
QAT,186
REU,187
ROU,188
SRB,189
RUS,190
RWA,191
SAU,192
SLB,193
SYC,194
SDN,195
SWE,196
SGP,197
SHN,198
SVN,199
SJM,200
SVK,201
SLE,202
SMR,203
SEN,204
SOM,205
SUR,206
SSD,207
STP,208
SLV,209
SXM,210
SYR,211
SWZ,212
TCA,213
TCD,214
ATF,215
TGO,216
THA,217
TJK,218
TKL,219
TLS,220
TKM,221
TUN,222
TON,223
TUR,224
TTO,225
TUV,226
TWN,227
TZA,228
UKR,229
UGA,230
UMI,231
USA,232
URY,233
UZB,234
VAT,235
VCT,236
VEN,237
VGB,238
VIR,239
VNM,240
VUT,241
WLF,242
WSM,243
XKX,244
XXA,245
YEM,246
MYT,247
ZAF,248
ZMB,249
ZWE,250
